,format
4027,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/a-mid-season-soybean-plants-leaves-show-virtually-no-insect-damage-cxy77t.jpg,96,175,278,371,Soyabean-leaf"
4028,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/a-mid-season-soybean-plants-leaves-show-virtually-no-insect-damage-cxy77t.jpg,236,24,436,204,Soyabean-leaf"
4029,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Stephanes-Babcock-peach.Few-branches-without-any-leaves.jpg,832,2141,1139,2496,Peach-leaf"
4030,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Stephanes-Babcock-peach.Few-branches-without-any-leaves.jpg,673,2596,891,2920,Peach-leaf"
4031,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Stephanes-Babcock-peach.Few-branches-without-any-leaves.jpg,625,1934,842,2341,Peach-leaf"
4032,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Southern-rust-2_Wise.jpg,293,6,1393,1433,Corn-rust-leaf"
4033,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_15928367-stock-photo-soy-leaf.jpg,409,66,725,492,Soyabean-leaf"
4034,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_15928367-stock-photo-soy-leaf.jpg,533,411,935,652,Soyabean-leaf"
4035,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_15928367-stock-photo-soy-leaf.jpg,64,445,488,689,Soyabean-leaf"
4036,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Leafspotx450xBugwood.jpg,32,151,193,209,Tomato-leaf-bacterial-spot"
4037,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Leafspotx450xBugwood.jpg,263,47,443,208,Tomato-leaf-bacterial-spot"
4038,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Leafspotx450xBugwood.jpg,95,2,279,153,Tomato-leaf-bacterial-spot"
4039,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/appleleaf+trial+007.JPG.jpg,466,251,743,629,Apple-leaf"
4040,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/appleleaf+trial+007.JPG.jpg,754,244,1200,484,Apple-leaf"
4041,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/appleleaf+trial+007.JPG.jpg,1,195,451,390,Apple-leaf"
4042,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/appleleaf+trial+007.JPG.jpg,682,103,1143,303,Apple-leaf"
4043,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/appleleaf+trial+007.JPG.jpg,223,363,528,630,Apple-leaf"
4044,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Late-blight-symptoms-on-tomato-leaves-1r3uhy2.jpg,1207,1832,2213,3364,Tomato-leaf-late-blight"
4045,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Late-blight-symptoms-on-tomato-leaves-1r3uhy2.jpg,1709,1189,2598,2587,Tomato-leaf-late-blight"
4046,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Late-blight-symptoms-on-tomato-leaves-1r3uhy2.jpg,1,816,1461,1928,Tomato-leaf-late-blight"
4047,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/corn-bacterial-leaf-streak-backlit-severe-lesions.jpg,144,30,609,1057,Corn-leaf-blight"
4048,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Septoria%2Bleaf%2Bspot.tomato.JPG.jpg,1,47,75,253,Tomato-Septoria-leaf-spot"
4049,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Septoria%2Bleaf%2Bspot.tomato.JPG.jpg,33,110,150,387,Tomato-Septoria-leaf-spot"
4050,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Septoria%2Bleaf%2Bspot.tomato.JPG.jpg,151,87,300,242,Tomato-Septoria-leaf-spot"
4051,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Southern-rust-underside-of-leaf-1.jpg,1,39,765,317,Corn-rust-leaf"
4052,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/apple-scab-leaf-big.jpg,262,59,566,488,Apple-Scab-Leaf"
4053,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/corn-rust-3.jpg,122,2,545,350,Corn-rust-leaf"
4054,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/_1030395.JPG.jpg,589,319,1514,1202,Squash-Powdery-mildew-leaf"
4055,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/_1030395.JPG.jpg,12,1,877,653,Squash-Powdery-mildew-leaf"
4056,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-leaves-e1335624103663.jpg,1082,10,1696,1077,Cherry-leaf"
4057,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-leaves-e1335624103663.jpg,602,1421,1359,2666,Cherry-leaf"
4058,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-leaves-e1335624103663.jpg,1,924,821,1493,Cherry-leaf"
4059,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-leaves-e1335624103663.jpg,1,374,760,913,Cherry-leaf"
4060,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-leaves-e1335624103663.jpg,402,257,1027,841,Cherry-leaf"
4061,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,864,636,1076,856,Strawberry-leaf"
4062,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,1023,662,1230,879,Strawberry-leaf"
4063,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,785,813,1067,1003,Strawberry-leaf"
4064,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,915,34,1144,321,Strawberry-leaf"
4065,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,761,162,1018,388,Strawberry-leaf"
4066,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,995,169,1279,385,Strawberry-leaf"
4067,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,489,567,720,754,Strawberry-leaf"
4068,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,548,456,710,600,Strawberry-leaf"
4069,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,669,587,802,754,Strawberry-leaf"
4070,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,74,739,325,933,Strawberry-leaf"
4071,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,123,620,377,777,Strawberry-leaf"
4072,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,285,788,485,1001,Strawberry-leaf"
4073,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,48,257,415,528,Strawberry-leaf"
4074,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,192,10,474,334,Strawberry-leaf"
4075,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/berry-strawberry-leaf-flower-set-isolated-white-background-47595687.jpg,382,139,717,439,Strawberry-leaf"
4076,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cedapp04_lg.jpg,1,73,739,514,Apple-rust-leaf"
4077,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/apple-scab-venturia-inaequalis-leaf-symptoms-on-tree-dark-fungal-pustules-aceg6b.jpg,49,181,460,462,Apple-Scab-Leaf"
4078,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/apple-scab-venturia-inaequalis-leaf-symptoms-on-tree-dark-fungal-pustules-aceg6b.jpg,343,35,554,333,Apple-Scab-Leaf"
4079,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/apple-tree-branch-green-leaves-fresh-isolated-white-background-33032924.jpg,502,432,938,791,Apple-leaf"
4080,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/apple-tree-branch-green-leaves-fresh-isolated-white-background-33032924.jpg,652,4,1070,290,Apple-leaf"
4081,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/apple-tree-branch-green-leaves-fresh-isolated-white-background-33032924.jpg,665,246,1180,548,Apple-leaf"
4082,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,101,360,366,622,Blueberry-leaf"
4083,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,347,397,521,620,Blueberry-leaf"
4084,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,299,645,459,917,Blueberry-leaf"
4085,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,85,618,304,789,Blueberry-leaf"
4086,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,408,641,575,818,Blueberry-leaf"
4087,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,463,716,650,896,Blueberry-leaf"
4088,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,568,776,828,1128,Blueberry-leaf"
4089,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,887,810,1059,991,Blueberry-leaf"
4090,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,1020,670,1239,814,Blueberry-leaf"
4091,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,664,624,979,854,Blueberry-leaf"
4092,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,653,110,864,341,Blueberry-leaf"
4093,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,738,258,887,516,Blueberry-leaf"
4094,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,593,260,770,512,Blueberry-leaf"
4095,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,877,176,969,362,Blueberry-leaf"
4096,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,1013,238,1182,357,Blueberry-leaf"
4097,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,907,376,980,500,Blueberry-leaf"
4098,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1200644+Vaccinium+alaskaense+Alaska+Blueberry+cr.jpg,1210,378,1389,557,Blueberry-leaf"
4099,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bacterial-speck-tomato-3.jpg,328,264,2953,1952,Tomato-leaf-bacterial-spot"
4100,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bigseptoria01.jpg,45,62,427,244,Tomato-Septoria-leaf-spot"
4101,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Northern-Corn-Leaf-Blight.jpg,4,13,332,205,Corn-leaf-blight"
4102,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cp_A-325_gray_leaf_spot_article.jpg,80,107,515,345,Corn-Gray-leaf-spot"
4103,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/acid_0033.jpg,553,363,699,656,Blueberry-leaf"
4104,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/acid_0033.jpg,708,334,982,664,Blueberry-leaf"
4105,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/acid_0033.jpg,553,162,782,370,Blueberry-leaf"
4106,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/acid_0033.jpg,403,2,591,256,Blueberry-leaf"
4107,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/acid_0033.jpg,25,372,392,544,Blueberry-leaf"
4108,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/acid_0033.jpg,3,120,233,394,Blueberry-leaf"
4109,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/acid_0033.jpg,116,555,339,720,Blueberry-leaf"
4110,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/PHOTO_1333642732277.jpg,412,34,650,240,Tomato-Septoria-leaf-spot"
4111,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/PHOTO_1333642732277.jpg,786,9,1013,140,Tomato-Septoria-leaf-spot"
4112,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/PHOTO_1333642732277.jpg,1211,270,1531,512,Tomato-Septoria-leaf-spot"
4113,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/PHOTO_1333642732277.jpg,1069,38,1473,343,Tomato-Septoria-leaf-spot"
4114,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/PHOTO_1333642732277.jpg,836,439,1050,645,Tomato-Septoria-leaf-spot"
4115,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/PHOTO_1333642732277.jpg,579,628,820,817,Tomato-Septoria-leaf-spot"
4116,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/PHOTO_1333642732277.jpg,579,299,865,655,Tomato-Septoria-leaf-spot"
4117,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bd0b83af4c5e4b739ccc6c36fa66f141.jpg,30,1,206,302,Tomato-Septoria-leaf-spot"
4118,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Problem-2a.jpg,595,203,692,346,Tomato-mold-leaf"
4119,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Problem-2a.jpg,92,135,236,348,Tomato-mold-leaf"
4120,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Problem-2a.jpg,335,245,498,538,Tomato-mold-leaf"
4121,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Septoria_Leaf_Spot_of_Tomato187.jpg,1,39,786,591,Tomato-Septoria-leaf-spot"
4122,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Septoria_Leaf_Spot_of_Tomato187.jpg,551,12,796,186,Tomato-Septoria-leaf-spot"
4123,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/blueberry-leaf-isolated-white-background-clipping-path-87355538.jpg,127,170,1187,1108,Blueberry-leaf"
4124,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Leaves-with-early-blight-need-to-be-removed-225x300.jpg,55,152,110,220,Potato-leaf-early-blight"
4125,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Leaves-with-early-blight-need-to-be-removed-225x300.jpg,113,145,165,195,Potato-leaf-early-blight"
4126,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Leaves-with-early-blight-need-to-be-removed-225x300.jpg,42,81,92,149,Potato-leaf-early-blight"
4127,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Leaves-with-early-blight-need-to-be-removed-225x300.jpg,82,238,107,292,Potato-leaf-early-blight"
4128,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Leaves-with-early-blight-need-to-be-removed-225x300.jpg,133,92,171,121,Potato-leaf-early-blight"
4129,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bac_spot1-300x298.jpg,3,108,128,283,Tomato-leaf-bacterial-spot"
4130,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bac_spot1-300x298.jpg,111,1,215,199,Tomato-leaf-bacterial-spot"
4131,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_8078382-stock-photo-strawberry-leaf.jpg,78,344,545,803,Strawberry-leaf"
4132,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_8078382-stock-photo-strawberry-leaf.jpg,341,90,780,531,Strawberry-leaf"
4133,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_8078382-stock-photo-strawberry-leaf.jpg,463,476,887,952,Strawberry-leaf"
4134,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_143371585-stock-photo-tomato-leaf-closeup-isolated-on.jpg,97,553,833,934,Tomato-leaf"
4135,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_143371585-stock-photo-tomato-leaf-closeup-isolated-on.jpg,815,581,1147,1015,Tomato-leaf"
4136,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_143371585-stock-photo-tomato-leaf-closeup-isolated-on.jpg,1138,426,1456,779,Tomato-leaf"
4137,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_143371585-stock-photo-tomato-leaf-closeup-isolated-on.jpg,728,87,1162,440,Tomato-leaf"
4138,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_143371585-stock-photo-tomato-leaf-closeup-isolated-on.jpg,398,362,989,670,Tomato-leaf"
4139,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-tree-leaves-and-fruits.jpg,198,77,299,252,Cherry-leaf"
4140,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-tree-leaves-and-fruits.jpg,3,114,148,235,Cherry-leaf"
4141,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-tree-leaves-and-fruits.jpg,30,184,189,297,Cherry-leaf"
4142,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/cherry-tree-leaves-and-fruits.jpg,226,4,346,83,Cherry-leaf"
4143,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Risk+factors+for+Goss%E2%80%99s+wilt+and+leaf+blight+Percent+surface+residue.jpg,606,109,703,622,Corn-leaf-blight"
4144,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Risk+factors+for+Goss%E2%80%99s+wilt+and+leaf+blight+Percent+surface+residue.jpg,722,175,891,560,Corn-leaf-blight"
4145,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Risk+factors+for+Goss%E2%80%99s+wilt+and+leaf+blight+Percent+surface+residue.jpg,651,185,719,492,Corn-leaf-blight"
4146,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Risk+factors+for+Goss%E2%80%99s+wilt+and+leaf+blight+Percent+surface+residue.jpg,810,252,951,456,Corn-leaf-blight"
4147,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Risk+factors+for+Goss%E2%80%99s+wilt+and+leaf+blight+Percent+surface+residue.jpg,680,352,766,653,Corn-leaf-blight"
4148,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ab40cce958c60d8b6e0ec2e4fdb8f526.jpg,62,81,93,113,Tomato-leaf-mosaic-virus"
4149,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ab40cce958c60d8b6e0ec2e4fdb8f526.jpg,70,119,107,143,Tomato-leaf-mosaic-virus"
4150,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ab40cce958c60d8b6e0ec2e4fdb8f526.jpg,80,38,123,98,Tomato-leaf-mosaic-virus"
4151,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ab40cce958c60d8b6e0ec2e4fdb8f526.jpg,64,156,102,195,Tomato-leaf-mosaic-virus"
4152,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/ab40cce958c60d8b6e0ec2e4fdb8f526.jpg,180,211,215,271,Tomato-leaf-mosaic-virus"
4153,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bacterial-canker3x2400-2ia1kgd.jpg,131,23,2230,2621,Tomato-leaf-bacterial-spot"
4154,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,362,124,505,326,Bell_pepper-leaf"
4155,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,192,58,347,171,Bell_pepper-leaf"
4156,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,92,9,296,96,Bell_pepper-leaf"
4157,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,1,80,112,187,Bell_pepper-leaf"
4158,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,112,161,238,332,Bell_pepper-leaf"
4159,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,228,218,345,332,Bell_pepper-leaf"
4160,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,274,146,390,270,Bell_pepper-leaf"
4161,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,490,191,577,331,Bell_pepper-leaf"
4162,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,454,111,570,235,Bell_pepper-leaf"
4163,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,396,54,508,119,Bell_pepper-leaf"
4164,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/bell%20pepper%20rain%20590x330.jpg,300,19,402,59,Bell_pepper-leaf"
4165,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/Late-Blight-336x437.jpg,3,30,336,300,Potato-leaf-late-blight"
4166,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/SAM_0376.JPG.jpg,16,94,354,549,Corn-leaf-blight"
4167,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,543,204,582,310,Peach-leaf"
4168,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,271,333,320,457,Peach-leaf"
4169,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,413,281,445,412,Peach-leaf"
4170,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,225,539,288,611,Peach-leaf"
4171,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,306,676,376,737,Peach-leaf"
4172,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,179,628,249,700,Peach-leaf"
4173,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,159,654,213,748,Peach-leaf"
4174,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,245,112,282,185,Peach-leaf"
4175,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,304,189,345,281,Peach-leaf"
4176,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,195,269,227,345,Peach-leaf"
4177,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,485,592,515,667,Peach-leaf"
4178,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,293,581,340,667,Peach-leaf"
4179,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,31,165,85,240,Peach-leaf"
4180,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/P1010703.JPG.jpg,195,342,237,444,Peach-leaf"
4181,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_120361722-stock-photo-tomato-leaf-closeup.jpg,76,108,340,465,Tomato-leaf"
4182,"drive/My Drive/Plants/Sample/PlantDoc-Object-Detection-Dataset/train_images/depositphotos_120361722-stock-photo-tomato-leaf-closeup.jpg,381,58,923,435,Tomato-leaf"
